,minute,symbol,ofi_0_h_i_t,ofi_1_h_i_t,ofi_2_h_i_t,ofi_3_h_i_t,ofi_4_h_i_t,ofi_5_h_i_t,ofi_6_h_i_t,ofi_7_h_i_t,ofi_8_h_i_t,ofi_9_h_i_t
30,2024-10-21 12:24,AAPL,-29.803445765590876,-527.9228342635283,513.5234166464451,825.2875515651541,-696.5299684542587,286.8163067216695,518.7139043921378,-611.6403785488959,-279.1142926474157,137.6316428051444
31,2024-10-21 12:25,AAPL,7.906861530839733,56.10106514738668,-47.158781273222694,-190.80009908347785,592.8263562051028,-132.53405994550408,262.43249938072825,145.90042110478078,-71.91478820906615,-28.144661877631904
32,2024-10-21 12:26,AAPL,41.84173669467787,191.3515406162465,-276.6106442577031,-686.4495798319329,1320.9033613445379,-721.9887955182073,783.6134453781513,-165.61624649859945,-184.17366946778714,83.68347338935574
33,2024-10-21 12:27,AAPL,4.156902699949057,-187.40703005603666,257.38155883851243,-881.7829852266938,414.30463576158934,642.2414671421293,64.43199184921038,-28.578706062149767,-1.3856342333163523,-63.91237901171675
34,2024-10-21 12:28,AAPL,-58.90728476821192,-42.317880794701985,-42.913907284768214,-267.91390728476824,347.4834437086093,-260.6622516556291,314.80132450331126,-173.34437086092714,-29.90066225165563,-60.0
35,2024-10-21 12:29,AAPL,-361.3392141138733,540.8580593424218,-990.3127506014434,-1091.2510024057738,2961.7321571772254,-754.570970328789,2587.57016840417,-892.3336006415396,-120.33680834001603,30.90617481956696
36,2024-10-21 12:30,AAPL,-292.20536165907936,-594.7799696509862,-234.96712190187148,1454.5978755690437,-675.6600910470409,270.84471421345467,251.35053110773893,-25.300961052099133,-313.566009104704,22.39757207890743
37,2024-10-21 12:31,AAPL,-725.7752750130958,161.66055526453638,-122.4122577265584,855.6128863279204,157.84180199057096,-109.0466212676794,0.8486118386589837,274.3137768465165,-668.9182818229439,-256.28077527501307
38,2024-10-21 12:32,AAPL,-597.596566523605,54.9633930825549,218.66195405200705,307.58646806362026,297.75561726836656,-29.790456955314312,-30.982075233526885,416.7684928048472,-144.78162080282755,-102.33021964150466
39,2024-10-21 12:33,AAPL,-315.2724481964696,-108.15042210283958,337.0887695062675,54.0086978766948,186.90202097723198,-82.74238935789204,12.77052954719877,169.2095165003837,13.834740342798668,-183.7093885904323
40,2024-10-21 12:34,AAPL,-768.1295874462161,-133.63705391040241,43.087825866869146,854.9531764110351,-790.6454062262718,316.1933687674006,908.7319665907364,-822.394330549228,-99.78233358643381,-50.701088332067826
41,2024-10-21 12:35,AAPL,119.28939237899073,-494.9639546858908,269.1040164778579,-98.93923789907312,249.55715756951597,325.46858908341915,99.20700308959835,-213.27497425334707,19.814624098867146,-82.7394438722966
42,2024-10-21 12:36,AAPL,-17.181341980543777,-199.5310551259666,236.94686954352707,11.913195310551261,-13.0506360688451,132.48191568969818,-29.333998503367425,-52.62160139685707,-7.662758792716389,-6.225991519082066
43,2024-10-21 12:37,AAPL,-53.827392120075054,-3.386491557223265,-762.673545966229,1577.3921200750472,-486.0506566604128,103.37711069418388,89.11819887429645,145.26266416510322,-517.5984990619138,90.72232645403378
